Nome,Tipo,Workspace,Capacidade,Hora de início,Duração,Duração média,Atualizações por dia,Resultado,Proprietário,Detalhes do Erro
Saúde24h Premium E+ - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 02:00",00:09:44,00:09:53,1,Completed,powerbi_02@topmed.com.br,"",
Consultório Virtual - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 07:01",00:03:56,00:03:52,1,Completed,powerbi_02@topmed.com.br,"",
Unifique - Atendimentos de Informações Gerais - Diario,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 08:01",00:05:01,00:04:18,1,Completed,powerbi_02@topmed.com.br,"",
Atendimentos Concluídos - Diario - Conjunto de dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 08:01",00:08:36,00:15:04,1,Completed,powerbi_02@topmed.com.br,"",
CISNORDESTE - Atendimentos Concluídos - Mensal,Semantic Model,Personalizado - Clientes,topmedbi2,"Ontem, 19:00",00:07:19,00:07:22,1,Completed,powerbi_02@topmed.com.br,"",
Unifique - Operacional Diario,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 08:30",00:06:50,00:09:37,1,Completed,powerbi_02@topmed.com.br,"",
Obesidade - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 01:30",00:06:37,00:06:32,1,Completed,powerbi_02@topmed.com.br,"",
Lista Beneficiários - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 00:00",00:07:57,00:07:56,1,Completed,powerbi_02@topmed.com.br,"",
Alô Saúde Floripa - PMF - Contrato Antigo,Semantic Model,Personalizado - Clientes,topmedbi2,"08/05/2025, 19:00:18",00:16:39,"","",Failed,powerbi_02@topmed.com.br,"{""error"":{""code"":""ModelRefresh_ShortMessage_ProcessingError"",""pbi.error"":{""code"":""ModelRefresh_ShortMessage_ProcessingError"",""details"":[{""code"":""ModelRefresh_DataSourceErrorLabel"",""detail"":{""type"":1,""value"":""Resource Governing: This operation was canceled because there wasn't enough memory to finish running it. Either reduce the memory footprint of your dataset by doing things such as limiting the amount of imported data, or if using Power BI Premium, increase the memory of the Premium capacity where this dataset is hosted. More details: consumed memory 2404 MB, memory limit 2378 MB, database size before command execution 693 MB. See https:\/\/go.microsoft.com\/fwlink\/?linkid=2159753 to learn more.""}},{""code"":""ClusterUriText"",""detail"":{""type"":1,""value"":""WABI-BRAZIL-SOUTH-redirect.analysis.windows.net""}},{""code"":""ActivityIdText"",""detail"":{""type"":1,""value"":""603c5e8d-5e95-496b-a798-d0d4c3383ad2""}},{""code"":""RequestIdText"",""detail"":{""type"":1,""value"":""f3532f34-cb5a-4b33-a6f3-7f69d09194db""}},{""code"":""TimestampText"",""detail"":{""type"":1,""value"":""2025-05-08 22:16:58Z""}}],""exceptionCulprit"":1}}}",
Nutricall - Teleorientação Nutricional - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 18:30",00:04:21,00:06:13,1,Completed,powerbi_02@topmed.com.br,"",
Saúde Emocional - Teleorientação Psicológica - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 19:30",00:05:35,00:06:39,1,Completed,powerbi_02@topmed.com.br,"",
Ailos - BI de Vendas,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 09:02",00:10:15,00:08:42,1,Completed,powerbi_02@topmed.com.br,"",
Detalhamento Clínico Teleconsultas - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 10:30",00:08:05,00:08:16,1,Completed,powerbi_02@topmed.com.br,"",
Ailos - Gestão de Atendimentos,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 09:30",00:06:40,00:07:56,1,Completed,powerbi_02@topmed.com.br,"",
Transpetro - Gestão de Atendimentos,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 10:30",00:07:18,00:07:35,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Smart - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 20:30",00:08:58,00:08:51,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h Smart E + - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 20:00",00:05:41,00:06:26,1,Completed,powerbi_02@topmed.com.br,"",
Atendimentos D-1 - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 09:31",00:06:49,00:07:08,1,Completed,powerbi_02@topmed.com.br,"",
Informações Grupo Europ,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 11:02",00:03:49,00:03:30,1,Completed,powerbi_02@topmed.com.br,"",
Apresentação Correios,Semantic Model,Personalizado - Clientes,topmedbi2,"23/10/2024, 11:30:38",00:00:25,"","",Completed,powerbi_02@topmed.com.br,"",
Saúde 60+ - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 19:01",00:10:29,00:09:17,1,Completed,powerbi_02@topmed.com.br,"",
Gestão de Monitoramento - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Hoje, 11:02",00:09:19,00:08:57,1,Completed,powerbi_02@topmed.com.br,"",
PoC ANAC - Gestão Unificada Atendimentos,Semantic Model,Personalizado - Clientes,topmedbi2,"30/05/2025, 12:02:23",00:10:37,"","",Completed,powerbi_02@topmed.com.br,"",
Report Usage Metrics Model,Semantic Model,Personalizado - Clientes,topmedbi2,"13/01/2025, 09:28:01",00:00:00,"","",Completed,powerbi_02@topmed.com.br,"",
Conecta SUS Ribeirão,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 07:31",00:10:33,00:11:03,1,Completed,powerbi_02@topmed.com.br,"",
Grupo CASE - Gestão de Monitoramento,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 11:31",00:10:50,00:10:15,1,Completed,powerbi_02@topmed.com.br,"",
Gerencial TelaPet,Semantic Model,_Homologação,topmedbi2,"18/12/2025, 09:42:21",00:06:49,"","",Completed,powerbi_02@topmed.com.br,"",
Corpo e Mente em Forma,Semantic Model,Personalizado - Clientes,topmedbi2,"Hoje, 09:06",00:09:54,00:11:55,1,Completed,powerbi_02@topmed.com.br,"",
Saúde24h PAV PAE Consulta Imediata - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 16:31",00:09:53,00:12:20,1,Completed,powerbi_02@topmed.com.br,"",
Mapeamento de Saúde Mental - Polícia Federal - Conjunto de Dados,Semantic Model,Personalizado - Clientes,topmedbi2,"Ontem, 21:30",00:07:45,00:07:38,1,Completed,powerbi_02@topmed.com.br,"",
Gestão de Atendimentos - Policia Federal - Conjunto de Dados,Semantic Model,Personalizado - Clientes,topmedbi2,"Ontem, 18:04",00:11:13,00:10:30,1,Completed,powerbi_02@topmed.com.br,"",
Mapeamento de Saúde Mental - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 21:02",00:10:49,00:10:36,1,Completed,powerbi_02@topmed.com.br,"",
Mapeamento de Saúde Psicossocial - Conjunto de Dados,Semantic Model,_DataFlows e Conjuntos (Relatórios),topmedbi2,"Ontem, 23:30",00:01:12,00:00:51,2,Completed,powerbi_02@topmed.com.br,"",
